,Tool,ID,Description,IaC,Provider,Severity,Query Document,Related Document
1554,KICS,c1573577-e494-4417-8854-7e119368dc8b,Network Interfaces With Public IP,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/network_interface#public_ip_address_id,https://docs.kics.io/latest/queries/terraform-queries/azure/c1573577-e494-4417-8854-7e119368dc8b
1555,KICS,e9dee01f-2505-4df2-b9bf-7804d1fd9082,Sensitive Port Is Exposed To Small Public Network,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/network_security_rule,https://docs.kics.io/latest/queries/terraform-queries/azure/e9dee01f-2505-4df2-b9bf-7804d1fd9082
1556,KICS,3e3c175e-aadf-4e2b-a464-3fdac5748d24,SSH Is Exposed To The Internet,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/network_security_rule,https://docs.kics.io/latest/queries/terraform-queries/azure/3e3c175e-aadf-4e2b-a464-3fdac5748d24
1557,KICS,5400f379-a347-4bdd-a032-446465fdcc6f,Trusted Microsoft Services Not Enabled,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/storage_account#bypass,https://docs.kics.io/latest/queries/terraform-queries/azure/5400f379-a347-4bdd-a032-446465fdcc6f
1558,KICS,2e48d91c-50e4-45c8-9312-27b625868a72,WAF Is Disabled For Azure Application Gateway,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway,https://docs.kics.io/latest/queries/terraform-queries/azure/2e48d91c-50e4-45c8-9312-27b625868a72
1559,KICS,9db38e87-f6aa-4b5e-a1ec-7266df259409,Email Alerts Disabled,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/security_center_contact,https://docs.kics.io/latest/queries/terraform-queries/azure/9db38e87-f6aa-4b5e-a1ec-7266df259409
1560,KICS,ffb02aca-0d12-475e-b77c-a726f7aeff4b,Log Retention Is Not Set,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_configuration,https://docs.kics.io/latest/queries/terraform-queries/azure/ffb02aca-0d12-475e-b77c-a726f7aeff4b
1561,KICS,609839ae-bd81-4375-9910-5bce72ae7b92,MSSQL Server Auditing Disabled,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mssql_server,https://docs.kics.io/latest/queries/terraform-queries/azure/609839ae-bd81-4375-9910-5bce72ae7b92
1562,KICS,3790d386-be81-4dcf-9850-eaa7df6c10d9,PostgreSQL Log Checkpoints Disabled,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_configuration,https://docs.kics.io/latest/queries/terraform-queries/azure/3790d386-be81-4dcf-9850-eaa7df6c10d9
1563,KICS,c640d783-10c5-4071-b6c1-23507300d333,PostgreSQL Log Connections Not Set,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_configuration,https://docs.kics.io/latest/queries/terraform-queries/azure/c640d783-10c5-4071-b6c1-23507300d333
