Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_2,Ensure that certificate validation isn't disabled with get_url,NaN,Ansible,NaN,Ansible,NaN,[GetUrlValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
