Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
KICS,0ed012a4-9199-43d2-b9e4-9bd049a48aa4,IAM Database Auth Not Enabled,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/0ed012a4-9199-43d2-b9e4-9bd049a48aa4,https://docs.ansible.com/ansible/latest/collections/community/aws/rds_instance_module.html
KICS,218413a0-c716-4b94-9e08-0bb70d854709,Secure Ciphers Disabled,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/218413a0-c716-4b94-9e08-0bb70d854709,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudfront_distribution_module.html
KICS,e1e7b278-2a8b-49bd-a26e-66a7f70b17eb,SQS With SSE Disabled,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/e1e7b278-2a8b-49bd-a26e-66a7f70b17eb,https://docs.ansible.com/ansible/latest/collections/community/aws/sqs_queue_module.html#ansible-collections-community-aws-sqs-queue-module
KICS,b47b98ab-e481-4a82-8bb1-1ab39fd36e33,API Gateway Without SSL Certificate,NaN,Ansible,Insecure Configurations,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/b47b98ab-e481-4a82-8bb1-1ab39fd36e33,https://docs.ansible.com/ansible/2.8/modules/aws_api_gateway_module.html
KICS,d5ec2080-340a-4259-b885-f833c4ea6a31,Certificate RSA Key Bytes Lower Than 256,NaN,Ansible,Insecure Configurations,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/d5ec2080-340a-4259-b885-f833c4ea6a31,https://docs.ansible.com/ansible/2.10/collections/community/aws/aws_acm_module.html
KICS,d0c13053-d2c8-44a6-95da-d592996e9e67,CloudFront Without Minimum Protocol TLS 1.2,NaN,Ansible,Insecure Configurations,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/d0c13053-d2c8-44a6-95da-d592996e9e67,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudfront_distribution_module.html#parameter-viewer_certificate/minimum_protocol_version
KICS,60bfbb8a-c72f-467f-a6dd-a46b7d612789,ECR Image Tag Not Immutable,NaN,Ansible,Insecure Configurations,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/60bfbb8a-c72f-467f-a6dd-a46b7d612789,https://docs.ansible.com/ansible/latest/collections/community/aws/ecs_ecr_module.html
KICS,01aec7c2-3e4d-4274-ae47-2b8fea22fd1f,ECS Task Definition Network Mode Not Recommended,NaN,Ansible,Insecure Configurations,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/01aec7c2-3e4d-4274-ae47-2b8fea22fd1f,https://docs.ansible.com/ansible/latest/collections/community/aws/ecs_taskdefinition_module.html#parameter-network_mode
KICS,3505094c-f77c-4ba0-95da-f83db712f86c,S3 Bucket with Unsecured CORS Rule,NaN,Ansible,Insecure Configurations,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/3505094c-f77c-4ba0-95da-f83db712f86c,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_s3_cors_module.html#parameter-rules
KICS,fb8f8929-afeb-4c46-99f0-a6cf410f7df4,Vulnerable Default SSL Certificate,NaN,Ansible,Insecure Defaults,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/fb8f8929-afeb-4c46-99f0-a6cf410f7df4,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudfront_distribution_module.html
